Interval=	0.001 s
ExcelDateTime=	4.5370490424011550e+004	3/19/2024 11:46:12.634598
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	10.000 V
UnitName=	L/min
TopValue=	50.00
BottomValue=	-50.00
0	-0.1890625
0.001	-0.5859375
0.002	-0.6609375
0.003	-0.4609375
0.004	-0.2
0.005	-0.0171875
0.006	0.09375
0.007	0.10625
0.008	-0.075
0.009	-0.41875
0.01	-0.6765625
0.011	-0.61875
0.012	-0.234375
0.013	0.2515625
0.014	0.53125
0.015	0.475
0.016	0.2015625
0.017	-0.0625
0.018	-0.2109375
0.019	-0.2765625
0.02	-0.2546875
0.021	-0.0484375
0.022	0.315625
0.023	0.640625
0.024	0.796875
0.025	0.6984375
0.026	0.246875
0.027	-0.3921875
0.028	-0.79375
0.029	-0.7765625
0.03	-0.5484375
0.031	-0.31875
0.032	-0.065625
0.033	0.35
0.034	0.8890625
0.035	1.18125
0.036	0.8953125
0.037	0.2390625
0.038	-0.2015625
0.039	-0.125
0.04	0.215625
0.041	0.4140625
0.042	0.3546875
0.043	0.2046875
0.044	0.1046875
0.045	-0.0125
0.046	-0.234375
0.047	-0.490625
0.048	-0.59375
0.049	-0.43125
0.05	-0.146875
0.051	-0.034375
0.052	-0.1609375
0.053	-0.3328125
0.054	-0.4328125
0.055	-0.515625
0.056	-0.6484375
0.057	-0.78125
0.058	-0.7421875
0.059	-0.3859375
0.06	0.259375
0.061	0.9265625
0.062	1.182813
0.063	0.76875
0.064	-0.0890625
0.065	-0.90625
0.066	-1.357813
0.067	-1.407813
0.068	-1.217188
0.069	-0.9078125
0.07	-0.4765625
0.071	-0.0171875
0.072	0.2640625
0.073	0.3109375
0.074	0.21875
0.075	0.0890625
0.076	0.0203125
0.077	0.078125
0.078	0.23125
0.079	0.34375
0.08	0.2671875
0.081	-0.04375
0.082	-0.4421875
0.083	-0.7125
0.084	-0.7578125
0.085	-0.6203125
0.086	-0.4046875
0.087	-0.1859375
0.088	0.0296875
0.089	0.1890625
0.09	0.1984375
0.091	0.0828125
0.092	0.0453125
0.093	0.296875
0.094	0.8015625
0.095	1.21875
0.096	1.292188
0.097	1.123438
0.098	0.9046875
0.099	0.615625
0.1	0.140625
0.101	-0.425
0.102	-0.8
0.103	-0.803125
0.104	-0.50625
0.105	-0.1140625
0.106	0.1921875
0.107	0.2875
0.108	0.0828125
0.109	-0.38125
0.11	-0.88125
0.111	-1.1125
0.112	-0.925
0.113	-0.46875
0.114	-0.0359375
0.115	0.2359375
0.116	0.3953125
0.117	0.421875
0.118	0.2046875
0.119	-0.1390625
0.12	-0.284375
0.121	-0.0953125
0.122	0.2703125
0.123	0.5640625
0.124	0.6453125
0.125	0.553125
0.126	0.3734375
0.127	0.109375
0.128	-0.2640625
0.129	-0.6421875
0.13	-0.7703125
0.131	-0.5078125
0.132	-0.0109375
0.133	0.5109375
0.134	0.959375
0.135	1.207813
0.136	1.126563
0.137	0.7609375
0.138	0.3453125
0.139	0.1109375
0.14	0.090625
0.141	0.1953125
0.142	0.3984375
0.143	0.671875
0.144	0.8265625
0.145	0.646875
0.146	0.18125
0.147	-0.284375
0.148	-0.5203125
0.149	-0.515625
0.15	-0.384375
0.151	-0.225
0.152	-0.0265625
0.153	0.1921875
0.154	0.2484375
0.155	0.021875
0.156	-0.321875
0.157	-0.49375
0.158	-0.34375
0.159	0.046875
0.16	0.50625
0.161	0.9359375
0.162	1.198438
0.163	1.060938
0.164	0.465625
0.165	-0.2921875
0.166	-0.79375
0.167	-0.7875
0.168	-0.3
0.169	0.3765625
0.17	0.8671875
0.171	0.9078125
0.172	0.4875
0.173	-0.1109375
0.174	-0.5375
0.175	-0.646875
0.176	-0.5
0.177	-0.215625
0.178	0.1234375
0.179	0.446875
0.18	0.6046875
0.181	0.4265625
0.182	-0.0328125
0.183	-0.44375
0.184	-0.5578125
0.185	-0.471875
0.186	-0.4
0.187	-0.3671875
0.188	-0.2859375
0.189	-0.1609375
0.19	-0.0828125
0.191	-0.1109375
0.192	-0.2234375
0.193	-0.328125
0.194	-0.2765625
0.195	0.015625
0.196	0.4359375
0.197	0.75625
0.198	0.8453125
0.199	0.6953125
0.2	0.3609375
0.201	-0.003125
0.202	-0.1734375
0.203	-0.028125
0.204	0.3
0.205	0.55625
0.206	0.603125
0.207	0.4125
0.208	-0.0234375
0.209	-0.56875
0.21	-0.928125
0.211	-0.9390625
0.212	-0.7
0.213	-0.375
0.214	-0.01875
0.215	0.3546875
0.216	0.6640625
0.217	0.721875
0.218	0.38125
0.219	-0.2796875
0.22	-0.984375
0.221	-1.384375
0.222	-1.28125
0.223	-0.7921875
0.224	-0.2515625
0.225	0.096875
0.226	0.1921875
0.227	0.059375
0.228	-0.1859375
0.229	-0.3203125
0.23	-0.19375
0.231	0.1109375
0.232	0.396875
0.233	0.5734375
0.234	0.6828125
0.235	0.6953125
0.236	0.509375
0.237	0.14375
0.238	-0.215625
0.239	-0.3515625
0.24	-0.1921875
0.241	0.109375
0.242	0.3296875
0.243	0.41875
0.244	0.43125
0.245	0.346875
0.246	0.140625
0.247	-0.0828125
0.248	-0.184375
0.249	-0.13125
0.25	0.0375
0.251	0.290625
0.252	0.5625
0.253	0.6640625
0.254	0.396875
0.255	-0.1640625
0.256	-0.646875
0.257	-0.7375
0.258	-0.4640625
0.259	-0.1078125
0.26	0.109375
0.261	0.1875
0.262	0.2
0.263	0.10625
0.264	-0.140625
0.265	-0.425
0.266	-0.534375
0.267	-0.3671875
0.268	-0.0390625
0.269	0.2609375
0.27	0.41875
0.271	0.31875
0.272	-0.140625
0.273	-0.75
0.274	-1.079688
0.275	-0.9546875
0.276	-0.5921875
0.277	-0.2625
0.278	0.0109375
0.279	0.3390625
0.28	0.6125
0.281	0.5265625
0.282	0.0171875
0.283	-0.5515625
0.284	-0.7640625
0.285	-0.5390625
0.286	-0.0984375
0.287	0.3171875
0.288	0.5984375
0.289	0.675
0.29	0.459375
0.291	0
0.292	-0.4703125
0.293	-0.7484375
0.294	-0.7921875
0.295	-0.615625
0.296	-0.2515625
0.297	0.1671875
0.298	0.446875
0.299	0.425
0.3	0.109375
0.301	-0.3265625
0.302	-0.6875
0.303	-0.828125
0.304	-0.665625
0.305	-0.284375
0.306	0.10625
0.307	0.3765625
