Interval=	0.001 s
ExcelDateTime=	4.5363502467003054e+004	3/12/2024 12:03:33.149064
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	10.000 V
UnitName=	L/min
TopValue=	50.00
BottomValue=	-50.00
0	-0.325
0.001	-0.053125
0.002	0.153125
0.003	0.296875
0.004	0.4
0.005	0.3484375
0.006	0.053125
0.007	-0.3484375
0.008	-0.6359375
0.009	-0.6953125
0.01	-0.5375
0.011	-0.278125
0.012	-0.084375
0.013	-0.05
0.014	-0.16875
0.015	-0.35
0.016	-0.4453125
0.017	-0.3546875
0.018	-0.096875
0.019	0.196875
0.02	0.3734375
0.021	0.3734375
0.022	0.2421875
0.023	0.0328125
0.024	-0.2375
0.025	-0.5125
0.026	-0.6546875
0.027	-0.5390625
0.028	-0.1984375
0.029	0.2046875
0.03	0.546875
0.031	0.746875
0.032	0.6765625
0.033	0.296875
0.034	-0.1765625
0.035	-0.4453125
0.036	-0.4328125
0.037	-0.2828125
0.038	-0.103125
0.039	0.1203125
0.04	0.34375
0.041	0.378125
0.042	0.1078125
0.043	-0.271875
0.044	-0.4140625
0.045	-0.20625
0.046	0.0984375
0.047	0.196875
0.048	0.1
0.049	0.0234375
0.05	0.04375
0.051	0.0296875
0.052	-0.125
0.053	-0.3390625
0.054	-0.45625
0.055	-0.3859375
0.056	-0.165625
0.057	0.096875
0.058	0.2734375
0.059	0.225
0.06	-0.0953125
0.061	-0.515625
0.062	-0.746875
0.063	-0.634375
0.064	-0.2640625
0.065	0.121875
0.066	0.371875
0.067	0.521875
0.068	0.5484375
0.069	0.31875
0.07	-0.125
0.071	-0.503125
0.072	-0.6
0.073	-0.45
0.074	-0.209375
0.075	0.0546875
0.076	0.3296875
0.077	0.471875
0.078	0.2859375
0.079	-0.171875
0.08	-0.559375
0.081	-0.6046875
0.082	-0.3078125
0.083	0.15625
0.084	0.5921875
0.085	0.840625
0.086	0.825
0.087	0.5515625
0.088	0.09375
0.089	-0.4140625
0.09	-0.7765625
0.091	-0.803125
0.092	-0.4671875
0.093	0.0140625
0.094	0.3640625
0.095	0.4546875
0.096	0.2671875
0.097	-0.13125
0.098	-0.540625
0.099	-0.7234375
0.1	-0.5796875
0.101	-0.203125
0.102	0.2203125
0.103	0.5546875
0.104	0.7046875
0.105	0.5625
0.106	0.134375
0.107	-0.3453125
0.108	-0.584375
0.109	-0.4859375
0.11	-0.1640625
0.111	0.19375
0.112	0.46875
0.113	0.603125
0.114	0.49375
0.115	0.1203125
0.116	-0.2984375
0.117	-0.496875
0.118	-0.4328125
0.119	-0.2203125
0.12	0.021875
0.121	0.234375
0.122	0.4
0.123	0.4765625
0.124	0.3515625
0.125	0.01875
0.126	-0.3109375
0.127	-0.3890625
0.128	-0.203125
0.129	0.0859375
0.13	0.34375
0.131	0.4796875
0.132	0.390625
0.133	0.046875
0.134	-0.384375
0.135	-0.6515625
0.136	-0.575
0.137	-0.171875
0.138	0.3
0.139	0.596875
0.14	0.7046875
0.141	0.6390625
0.142	0.365625
0.143	0
0.144	-0.2484375
0.145	-0.290625
0.146	-0.1875
0.147	-0.021875
0.148	0.1875
0.149	0.41875
0.15	0.5234375
0.151	0.3125
0.152	-0.1484375
0.153	-0.50625
0.154	-0.5125
0.155	-0.2375
0.156	0.1
0.157	0.340625
0.158	0.4359375
0.159	0.390625
0.16	0.2125
0.161	-0.0546875
0.162	-0.3109375
0.163	-0.4421875
0.164	-0.3765625
0.165	-0.121875
0.166	0.2203125
0.167	0.4984375
0.168	0.59375
0.169	0.440625
0.17	0.140625
0.171	-0.0734375
0.172	-0.090625
0.173	0.0125
0.174	0.159375
0.175	0.346875
0.176	0.546875
0.177	0.6265625
0.178	0.4375
0.179	0.0171875
0.18	-0.3890625
0.181	-0.50625
0.182	-0.2734375
0.183	0.128125
0.184	0.4984375
0.185	0.7390625
0.186	0.721875
0.187	0.346875
0.188	-0.25
0.189	-0.7265625
0.19	-0.828125
0.191	-0.56875
0.192	-0.165625
0.193	0.165625
0.194	0.3671875
0.195	0.49375
0.196	0.5078125
0.197	0.2953125
0.198	-0.071875
0.199	-0.334375
0.2	-0.2796875
0.201	0.0484375
0.202	0.3640625
0.203	0.44375
0.204	0.340625
0.205	0.203125
0.206	0.0359375
0.207	-0.190625
0.208	-0.325
0.209	-0.165625
0.21	0.2359375
0.211	0.5984375
0.212	0.7578125
0.213	0.7828125
0.214	0.696875
0.215	0.3734375
0.216	-0.1625
0.217	-0.584375
0.218	-0.6328125
0.219	-0.3859375
0.22	-0.0640625
0.221	0.221875
0.222	0.4046875
0.223	0.353125
0.224	0.034375
0.225	-0.3234375
0.226	-0.465625
0.227	-0.3578125
0.228	-0.109375
0.229	0.159375
0.23	0.328125
0.231	0.3140625
0.232	0.1
0.233	-0.2375
0.234	-0.5359375
0.235	-0.65625
0.236	-0.5796875
0.237	-0.3765625
0.238	-0.146875
0.239	0.04375
0.24	0.1828125
0.241	0.2234375
0.242	0.0671875
0.243	-0.26875
0.244	-0.5796875
0.245	-0.6390625
0.246	-0.4265625
0.247	-0.15
0.248	0.0359375
0.249	0.2171875
0.25	0.4484375
0.251	0.553125
0.252	0.3734375
0.253	0.0296875
0.254	-0.209375
0.255	-0.240625
0.256	-0.159375
0.257	-0.0390625
0.258	0.175
0.259	0.4125
0.26	0.4421875
0.261	0.19375
0.262	-0.1265625
0.263	-0.275
0.264	-0.1640625
0.265	0.1
0.266	0.31875
0.267	0.371875
0.268	0.2984375
0.269	0.1765625
0.27	0.025
0.271	-0.153125
0.272	-0.3203125
0.273	-0.3859375
0.274	-0.24375
0.275	0.05
0.276	0.2921875
0.277	0.34375
0.278	0.2015625
0.279	-0.0890625
0.28	-0.440625
0.281	-0.665625
0.282	-0.575
0.283	-0.1828125
0.284	0.315625
0.285	0.740625
0.286	0.9609375
0.287	0.8421875
0.288	0.3734375
0.289	-0.1625
0.29	-0.4
0.291	-0.253125
0.292	0.04375
0.293	0.2328125
0.294	0.2359375
0.295	0.0875
0.296	-0.16875
0.297	-0.428125
0.298	-0.5484375
0.299	-0.4578125
0.3	-0.23125
0.301	0.01875
0.302	0.2234375
0.303	0.3640625
0.304	0.440625
0.305	0.409375
0.306	0.203125
0.307	-0.15625
0.308	-0.5078125
0.309	-0.61875
0.31	-0.3515625
0.311	0.190625
0.312	0.7203125
0.313	0.9546875
0.314	0.7765625
0.315	0.3140625
0.316	-0.175
0.317	-0.509375
0.318	-0.59375
0.319	-0.403125
0.32	-0.015625
