Interval=	0.001 s
ExcelDateTime=	4.5363616076236387e+004	3/12/2024 14:47:08.986824
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	10.000 V
UnitName=	L/min
TopValue=	50.00
BottomValue=	-50.00
0	0.2515625
0.001	0.378125
0.002	0.2796875
0.003	-0.065625
0.004	-0.425
0.005	-0.55
0.006	-0.4359375
0.007	-0.2578125
0.008	-0.13125
0.009	-0.03125
0.01	0.065625
0.011	0.0578125
0.012	-0.13125
0.013	-0.3828125
0.014	-0.4890625
0.015	-0.3796875
0.016	-0.1703125
0.017	0.009375
0.018	0.146875
0.019	0.2609375
0.02	0.2625
0.021	0.0546875
0.022	-0.2484375
0.023	-0.3890625
0.024	-0.240625
0.025	0.0703125
0.026	0.346875
0.027	0.5046875
0.028	0.525
0.029	0.3515625
0.03	-0.0078125
0.031	-0.365625
0.032	-0.5
0.033	-0.3609375
0.034	-0.0921875
0.035	0.1375
0.036	0.2484375
0.037	0.240625
0.038	0.109375
0.039	-0.115625
0.04	-0.3015625
0.041	-0.325
0.042	-0.190625
0.043	-0.015625
0.044	0.1046875
0.045	0.1703125
0.046	0.2171875
0.047	0.1671875
0.048	-0.0828125
0.049	-0.4328125
0.05	-0.6421875
0.051	-0.590625
0.052	-0.3703125
0.053	-0.159375
0.054	-0.028125
0.055	0.075
0.056	0.128125
0.057	0.0078125
0.058	-0.2625
0.059	-0.4546875
0.06	-0.4078125
0.061	-0.1953125
0.062	0
0.063	0.1140625
0.064	0.209375
0.065	0.275
0.066	0.19375
0.067	-0.0421875
0.068	-0.2671875
0.069	-0.3328125
0.07	-0.2453125
0.071	-0.1265625
0.072	-0.0453125
0.073	0.04375
0.074	0.1421875
0.075	0.14375
0.076	-0.0203125
0.077	-0.25
0.078	-0.396875
0.079	-0.4046875
0.08	-0.2859375
0.081	-0.071875
0.082	0.1875
0.083	0.3671875
0.084	0.315625
0.085	0.0546875
0.086	-0.1953125
0.087	-0.2375
0.088	-0.0953125
0.089	0.06875
0.09	0.1921875
0.091	0.403125
0.092	0.74375
0.093	0.9546875
0.094	0.7703125
0.095	0.30625
0.096	-0.1078125
0.097	-0.3390625
0.098	-0.4515625
0.099	-0.4328125
0.1	-0.23125
0.101	0.05
0.102	0.16875
0.103	0.0234375
0.104	-0.2140625
0.105	-0.30625
0.106	-0.2
0.107	-0.00625
0.108	0.16875
0.109	0.3125
0.11	0.421875
0.111	0.4328125
0.112	0.3
0.113	0.10625
0.114	-0.0171875
0.115	-0.03125
0.116	0.0046875
0.117	0.0375
0.118	0.0921875
0.119	0.178125
0.12	0.1984375
0.121	0.0640625
0.122	-0.153125
0.123	-0.271875
0.124	-0.20625
0.125	-0.0171875
0.126	0.190625
0.127	0.371875
0.128	0.484375
0.129	0.425
0.13	0.1375
0.131	-0.23125
0.132	-0.4375
0.133	-0.384375
0.134	-0.1921875
0.135	-0.0125
0.136	0.1421875
0.137	0.3
0.138	0.371875
0.139	0.2484375
0.14	-0.00625
0.141	-0.2
0.142	-0.2171875
0.143	-0.1046875
