Interval=	0.001 s
ExcelDateTime=	4.5363660309874074e+004	3/12/2024 15:50:50.77312
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	10.000 V
UnitName=	L/min
TopValue=	50.00
BottomValue=	-50.00
0	-0.6359375
0.001	-0.434375
0.002	-0.1359375
0.003	0.175
0.004	0.334375
0.005	0.228125
0.006	-0.075
0.007	-0.325
0.008	-0.315625
0.009	-0.0828125
0.01	0.1953125
0.011	0.3546875
0.012	0.3171875
0.013	0.0671875
0.014	-0.315625
0.015	-0.646875
0.016	-0.74375
0.017	-0.5640625
0.018	-0.215625
0.019	0.18125
0.02	0.58125
0.021	0.8734375
0.022	0.81875
0.023	0.3265625
0.024	-0.3140625
0.025	-0.6359375
0.026	-0.4359375
0.027	0.0203125
0.028	0.2859375
0.029	0.19375
0.03	-0.05
0.031	-0.24375
0.032	-0.4265625
0.033	-0.66875
0.034	-0.8890625
0.035	-0.91875
0.036	-0.684375
0.037	-0.284375
0.038	0.103125
0.039	0.3375
0.04	0.3140625
0.041	0.01875
0.042	-0.3765625
0.043	-0.628125
0.044	-0.628125
0.045	-0.4171875
0.046	-0.0734375
0.047	0.3421875
0.048	0.7046875
0.049	0.778125
0.05	0.4140625
0.051	-0.215625
0.052	-0.725
0.053	-0.8375
0.054	-0.553125
0.055	-0.08125
0.056	0.3625
0.057	0.659375
0.058	0.725
0.059	0.48125
0.06	0.028125
0.061	-0.3625
0.062	-0.5015625
0.063	-0.409375
0.064	-0.203125
0.065	0.01875
0.066	0.1671875
0.067	0.1515625
0.068	-0.059375
0.069	-0.359375
0.07	-0.5765625
0.071	-0.603125
0.072	-0.453125
0.073	-0.2109375
0.074	0.04375
0.075	0.2734375
0.076	0.39375
0.077	0.2609375
0.078	-0.121875
0.079	-0.4828125
0.08	-0.515625
0.081	-0.2109375
0.082	0.1859375
0.083	0.4640625
0.084	0.5953125
0.085	0.590625
0.086	0.3984375
0.087	0.0515625
0.088	-0.259375
0.089	-0.359375
0.09	-0.20625
0.091	0.1
0.092	0.403125
0.093	0.6015625
0.094	0.6515625
0.095	0.4921875
0.096	0.125
0.097	-0.278125
0.098	-0.50625
0.099	-0.5078125
0.1	-0.3453125
0.101	-0.0765625
0.102	0.25
0.103	0.5078125
0.104	0.4875
0.105	0.103125
0.106	-0.409375
0.107	-0.6734375
0.108	-0.5359375
0.109	-0.1578125
0.11	0.215625
0.111	0.4640625
0.112	0.5796875
0.113	0.5546875
0.114	0.4296875
0.115	0.3125
0.116	0.2921875
0.117	0.3609375
0.118	0.43125
0.119	0.4453125
0.12	0.4453125
0.121	0.4078125
0.122	0.184375
0.123	-0.2484375
0.124	-0.6625
0.125	-0.7953125
0.126	-0.609375
0.127	-0.24375
0.128	0.1375
0.129	0.4484375
0.13	0.6640625
0.131	0.69375
0.132	0.4140625
0.133	-0.0875
0.134	-0.5328125
0.135	-0.7234375
0.136	-0.6265625
0.137	-0.2953125
0.138	0.175
0.139	0.61875
0.14	0.778125
0.141	0.4578125
0.142	-0.240625
0.143	-0.9609375
0.144	-1.323438
0.145	-1.159375
0.146	-0.6015625
0.147	0.0640625
0.148	0.584375
0.149	0.746875
0.15	0.4640625
0.151	-0.0984375
0.152	-0.6
0.153	-0.76875
0.154	-0.5671875
0.155	-0.1875
0.156	0.13125
0.157	0.2734375
0.158	0.2140625
0.159	-0.04375
0.16	-0.4
0.161	-0.684375
0.162	-0.7625
0.163	-0.60625
0.164	-0.2671875
0.165	0.1890625
0.166	0.70625
0.167	1.101563
0.168	1.05
0.169	0.5046875
0.17	-0.11875
0.171	-0.3703125
0.172	-0.2125
0.173	0.0875
0.174	0.3265625
0.175	0.5125
0.176	0.6375
0.177	0.5421875
0.178	0.1546875
0.179	-0.340625
0.18	-0.6828125
0.181	-0.7265625
0.182	-0.4859375
0.183	-0.1078125
0.184	0.2546875
0.185	0.48125
0.186	0.428125
0.187	0.046875
0.188	-0.4515625
0.189	-0.7421875
0.19	-0.671875
0.191	-0.3328125
0.192	0.0390625
0.193	0.2515625
0.194	0.2484375
0.195	0.046875
0.196	-0.2375
0.197	-0.3921875
0.198	-0.278125
0.199	0.0015625
0.2	0.259375
0.201	0.44375
0.202	0.628125
0.203	0.825
0.204	0.8265625
0.205	0.4421875
0.206	-0.1640625
0.207	-0.5953125
0.208	-0.621875
0.209	-0.3203125
0.21	0.1
0.211	0.49375
0.212	0.7546875
0.213	0.73125
0.214	0.3390625
0.215	-0.2453125
0.216	-0.69375
0.217	-0.7953125
0.218	-0.5421875
0.219	-0.0765625
0.22	0.3796875
0.221	0.646875
0.222	0.6421875
0.223	0.409375
0.224	0.1140625
0.225	-0.10625
0.226	-0.190625
0.227	-0.09375
0.228	0.1921875
0.229	0.5484375
0.23	0.7734375
0.231	0.7125
0.232	0.3671875
0.233	-0.0796875
0.234	-0.4
0.235	-0.4828125
0.236	-0.3625
0.237	-0.1421875
0.238	0.10625
0.239	0.353125
0.24	0.4875
0.241	0.3765625
0.242	0.059375
0.243	-0.2546875
0.244	-0.4046875
0.245	-0.4078125
0.246	-0.3703125
0.247	-0.30625
0.248	-0.140625
0.249	0.046875
0.25	0.0078125
0.251	-0.303125
0.252	-0.60625
0.253	-0.640625
0.254	-0.4453125
0.255	-0.2046875
0.256	-0.00625
0.257	0.1875
0.258	0.321875
0.259	0.1953125
0.26	-0.228125
0.261	-0.653125
0.262	-0.7484375
0.263	-0.4671875
0.264	0.0015625
0.265	0.4234375
0.266	0.671875
0.267	0.6875
0.268	0.3828125
0.269	-0.1953125
0.27	-0.7109375
0.271	-0.8296875
0.272	-0.5859375
0.273	-0.2546875
0.274	0.0109375
0.275	0.2703125
0.276	0.5140625
0.277	0.528125
0.278	0.19375
0.279	-0.2421875
0.28	-0.453125
0.281	-0.365625
0.282	-0.153125
0.283	0.0171875
0.284	0.128125
0.285	0.178125
0.286	0.0703125
0.287	-0.19375
0.288	-0.425
0.289	-0.4703125
0.29	-0.3390625
0.291	-0.175
0.292	-0.109375
0.293	-0.0703125
0.294	0.084375
0.295	0.228125
0.296	0.0875
0.297	-0.3234375
0.298	-0.6609375
0.299	-0.66875
0.3	-0.409375
0.301	-0.1125
0.302	0.096875
0.303	0.19375
0.304	0.053125
0.305	-0.4078125
0.306	-0.9390625
0.307	-1.145313
0.308	-0.9125
0.309	-0.4421875
0.31	0.0671875
0.311	0.5046875
0.312	0.7484375
0.313	0.6640625
0.314	0.2890625
0.315	-0.1
0.316	-0.23125
0.317	-0.0875
0.318	0.1546875
0.319	0.359375
0.32	0.50625
0.321	0.6390625
0.322	0.6859375
0.323	0.4828125
0.324	0.04375
0.325	-0.3671875
0.326	-0.509375
0.327	-0.3796875
0.328	-0.1328125
0.329	0.1171875
0.33	0.346875
0.331	0.490625
0.332	0.434375
0.333	0.2171875
0.334	-0.003125
0.335	-0.1265625
0.336	-0.1453125
0.337	-0.0921875
0.338	0
0.339	0.1203125
0.34	0.2
0.341	0.1046875
0.342	-0.1921875
0.343	-0.509375
0.344	-0.64375
0.345	-0.5328125
0.346	-0.2578125
0.347	0.0625
0.348	0.3234375
0.349	0.3625
0.35	0.0421875
0.351	-0.4921875
0.352	-0.871875
0.353	-0.8890625
0.354	-0.6171875
0.355	-0.2171875
0.356	0.2046875
0.357	0.5375
0.358	0.596875
0.359	0.228125
0.36	-0.4171875
0.361	-0.896875
0.362	-0.921875
0.363	-0.628125
0.364	-0.2890625
0.365	0.0171875
0.366	0.390625
0.367	0.7625
0.368	0.84375
0.369	0.5015625
0.37	0.00625
0.371	-0.2640625
0.372	-0.196875
0.373	0.0375
0.374	0.2390625
0.375	0.36875
0.376	0.471875
0.377	0.4875
0.378	0.278125
0.379	-0.121875
0.38	-0.4828125
0.381	-0.5890625
0.382	-0.4
0.383	-0.003125
0.384	0.4765625
0.385	0.8515625
0.386	0.865625
0.387	0.45625
0.388	-0.084375
0.389	-0.3515625
0.39	-0.225
0.391	0.0859375
0.392	0.3359375
0.393	0.4625
0.394	0.509375
0.395	0.428125
0.396	0.134375
0.397	-0.259375
0.398	-0.44375
0.399	-0.2328125
0.4	0.19375
0.401	0.525
0.402	0.6765625
0.403	0.746875
0.404	0.6953125
0.405	0.3796875
0.406	-0.1578125
0.407	-0.634375
0.408	-0.7703125
0.409	-0.528125
0.41	-0.096875
0.411	0.275
0.412	0.4125
0.413	0.2375
0.414	-0.1703125
0.415	-0.578125
0.416	-0.7359375
0.417	-0.58125
0.418	-0.25
0.419	0.0734375
0.42	0.3234375
0.421	0.515625
0.422	0.5734375
0.423	0.3703125
0.424	-0.0140625
0.425	-0.28125
0.426	-0.23125
0.427	0.009375
0.428	0.1375
0.429	0.0671875
0.43	-0.0109375
0.431	0.0015625
0.432	-0.053125
0.433	-0.2734375
0.434	-0.49375
0.435	-0.521875
0.436	-0.3578125
0.437	-0.1453125
0.438	0.0265625
0.439	0.1875
0.44	0.321875
0.441	0.3015625
0.442	0.0828125
0.443	-0.1953125
0.444	-0.35625
0.445	-0.3109375
0.446	-0.11875
0.447	0.0859375
0.448	0.253125
0.449	0.3859375
0.45	0.4328125
0.451	0.3515625
0.452	0.1859375
0.453	0.034375
0.454	-0.003125
0.455	0.1234375
0.456	0.375
0.457	0.64375
0.458	0.79375
0.459	0.7265625
0.46	0.4953125
0.461	0.240625
0.462	0.0484375
0.463	-0.0453125
0.464	-0.0078125
0.465	0.1375
0.466	0.340625
0.467	0.5203125
0.468	0.5203125
0.469	0.2390625
0.47	-0.16875
0.471	-0.415625
0.472	-0.3578125
0.473	-0.05625
0.474	0.353125
0.475	0.759375
0.476	1.059375
0.477	1.039063
0.478	0.5171875
0.479	-0.3078125
0.48	-0.975
0.481	-1.264063
0.482	-1.260938
0.483	-1.039063
0.484	-0.5921875
0.485	-0.0484375
0.486	0.290625
0.487	0.2171875
0.488	-0.1375
0.489	-0.4046875
0.49	-0.3671875
0.491	-0.146875
0.492	0.0484375
0.493	0.184375
0.494	0.2640625
0.495	0.1921875
0.496	-0.084375
0.497	-0.403125
0.498	-0.509375
0.499	-0.3171875
0.5	0.021875
0.501	0.2953125
0.502	0.425
0.503	0.434375
0.504	0.3046875
0.505	0.0015625
0.506	-0.3359375
0.507	-0.484375
0.508	-0.36875
0.509	-0.128125
0.51	0.0796875
0.511	0.228125
0.512	0.359375
0.513	0.4171875
0.514	0.296875
0.515	0.0515625
0.516	-0.153125
0.517	-0.215625
0.518	-0.1390625
0.519	0.0109375
0.52	0.18125
0.521	0.3421875
0.522	0.3828125
0.523	0.15625
0.524	-0.28125
0.525	-0.6390625
0.526	-0.703125
0.527	-0.49375
0.528	-0.1765625
0.529	0.134375
0.53	0.421875
0.531	0.6390625
0.532	0.6703125
0.533	0.4921875
0.534	0.2078125
0.535	-0.09375
0.536	-0.3328125
0.537	-0.3890625
0.538	-0.171875
0.539	0.290625
0.54	0.8015625
0.541	1.034375
0.542	0.809375
0.543	0.334375
0.544	-0.025
0.545	-0.1234375
0.546	-0.046875
0.547	0.0953125
0.548	0.2734375
0.549	0.4265625
0.55	0.3890625
0.551	0.0953125
0.552	-0.2484375
0.553	-0.38125
0.554	-0.2703125
0.555	-0.0671875
0.556	0.1171875
0.557	0.284375
0.558	0.3890625
0.559	0.2765625
0.56	-0.1015625
0.561	-0.540625
0.562	-0.746875
0.563	-0.6234375
0.564	-0.309375
0.565	0.021875
0.566	0.3046875
0.567	0.515625
0.568	0.5453125
0.569	0.2765625
0.57	-0.1703125
0.571	-0.484375
0.572	-0.49375
0.573	-0.2984375
0.574	-0.1046875
0.575	0.040625
0.576	0.203125
0.577	0.2625
0.578	-0.01875
0.579	-0.5625
0.58	-0.9546875
0.581	-0.91875
0.582	-0.6015625
0.583	-0.303125
0.584	-0.103125
0.585	0.065625
0.586	0.1
0.587	-0.146875
0.588	-0.5421875
0.589	-0.759375
0.59	-0.640625
0.591	-0.284375
0.592	0.1265625
0.593	0.4703125
0.594	0.675
0.595	0.6328125
0.596	0.2546875
0.597	-0.3296875
0.598	-0.7765625
0.599	-0.834375
0.6	-0.521875
0.601	-0.0703125
0.602	0.29375
0.603	0.484375
0.604	0.471875
0.605	0.1984375
0.606	-0.278125
0.607	-0.7609375
0.608	-1.092188
0.609	-1.160938
0.61	-0.8921875
0.611	-0.384375
0.612	0.0953125
0.613	0.2890625
0.614	0.0609375
0.615	-0.4640625
0.616	-0.91875
0.617	-0.9921875
0.618	-0.6875
0.619	-0.2515625
0.62	0.1125
0.621	0.390625
0.622	0.584375
0.623	0.5734375
0.624	0.290625
0.625	-0.1125
0.626	-0.43125
0.627	-0.5328125
0.628	-0.378125
0.629	-0.0671875
0.63	0.2265625
0.631	0.4015625
0.632	0.4015625
0.633	0.203125
0.634	-0.0859375
0.635	-0.278125
0.636	-0.2625
0.637	-0.0515625
0.638	0.28125
0.639	0.6140625
0.64	0.78125
0.641	0.6125
0.642	0.084375
0.643	-0.5296875
0.644	-0.8484375
0.645	-0.746875
0.646	-0.428125
0.647	-0.13125
0.648	0.0875
0.649	0.2078125
0.65	0.1109375
0.651	-0.20625
0.652	-0.503125
0.653	-0.559375
0.654	-0.415625
0.655	-0.2640625
0.656	-0.175
0.657	-0.034375
0.658	0.184375
0.659	0.240625
0.66	-0.06875
0.661	-0.534375
0.662	-0.7671875
0.663	-0.63125
0.664	-0.2734375
0.665	0.0765625
0.666	0.3
0.667	0.453125
0.668	0.5265625
0.669	0.35625
0.67	-0.0859375
0.671	-0.55625
0.672	-0.76875
0.673	-0.625
0.674	-0.2515625
0.675	0.128125
0.676	0.378125
0.677	0.43125
0.678	0.240625
0.679	-0.0875
0.68	-0.2984375
0.681	-0.265625
0.682	-0.0859375
0.683	0.096875
0.684	0.2171875
0.685	0.2671875
0.686	0.2140625
0.687	0.028125
0.688	-0.2171875
0.689	-0.34375
0.69	-0.225
0.691	0.046875
0.692	0.2421875
0.693	0.259375
0.694	0.2125
0.695	0.1765625
0.696	0.0359375
0.697	-0.25625
0.698	-0.5046875
0.699	-0.5171875
0.7	-0.3078125
0.701	-0.0203125
0.702	0.253125
0.703	0.484375
0.704	0.5796875
0.705	0.415625
0.706	0.053125
0.707	-0.259375
0.708	-0.3375
0.709	-0.19375
0.71	0.053125
0.711	0.3265625
0.712	0.5953125
0.713	0.753125
0.714	0.609375
0.715	0.14375
0.716	-0.340625
0.717	-0.4875
0.718	-0.2625
0.719	0.0734375
0.72	0.2984375
0.721	0.4375
0.722	0.55
0.723	0.49375
