Interval=	0.001 s
ExcelDateTime=	4.5363476856517758e+004	3/12/2024 11:26:40.403135
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	10.000 V
UnitName=	L/min
TopValue=	50.00
BottomValue=	-50.00
0	-0.2546875
0.001	-0.0484375
0.002	0.1671875
0.003	0.2765625
0.004	0.2046875
0.005	-0.0609375
0.006	-0.4046875
0.007	-0.6359375
0.008	-0.6421875
0.009	-0.4453125
0.01	-0.1265625
0.011	0.234375
0.012	0.571875
0.013	0.79375
0.014	0.7859375
0.015	0.53125
0.016	0.146875
0.017	-0.215625
0.018	-0.425
0.019	-0.384375
0.02	-0.1328125
0.021	0.1703125
0.022	0.359375
0.023	0.3359375
0.024	0.1015625
0.025	-0.2078125
0.026	-0.4125
0.027	-0.4109375
0.028	-0.1796875
0.029	0.275
0.03	0.853125
0.031	1.2625
0.032	1.154688
0.033	0.459375
0.034	-0.4421875
0.035	-0.990625
0.036	-0.9296875
0.037	-0.4671875
0.038	-0.0171875
0.039	0.18125
0.04	0.1765625
0.041	0.1
0.042	-0.0703125
0.043	-0.4140625
0.044	-0.76875
0.045	-0.8109375
0.046	-0.45625
0.047	0.028125
0.048	0.371875
0.049	0.5296875
0.05	0.553125
0.051	0.4234375
0.052	0.1484375
0.053	-0.1484375
0.054	-0.3109375
0.055	-0.2734375
0.056	-0.046875
0.057	0.3078125
0.058	0.665625
0.059	0.8828125
0.06	0.8390625
0.061	0.4765625
0.062	-0.103125
0.063	-0.6203125
0.064	-0.7984375
0.065	-0.5625
0.066	-0.096875
0.067	0.35625
0.068	0.6453125
0.069	0.653125
0.07	0.3328125
0.071	-0.11875
0.072	-0.3515625
0.073	-0.215625
0.074	0.096875
0.075	0.2875
0.076	0.2609375
0.077	0.115625
0.078	-0.0546875
0.079	-0.2484375
0.08	-0.440625
0.081	-0.5140625
0.082	-0.3765625
0.083	-0.0953125
0.084	0.1765625
0.085	0.3828125
0.086	0.54375
0.087	0.575
0.088	0.3453125
0.089	-0.0734375
0.09	-0.4375
0.091	-0.59375
0.092	-0.5078125
0.093	-0.2453125
0.094	0.05
0.095	0.2671875
0.096	0.340625
0.097	0.1875
0.098	-0.1703125
0.099	-0.50625
0.1	-0.5765625
0.101	-0.321875
0.102	0.121875
0.103	0.559375
0.104	0.85
0.105	0.8875
0.106	0.6015625
0.107	0.1203125
0.108	-0.25625
0.109	-0.3015625
0.11	-0.034375
0.111	0.3359375
0.112	0.6171875
0.113	0.75
0.114	0.6984375
0.115	0.403125
0.116	-0.0390625
0.117	-0.346875
0.118	-0.3453125
0.119	-0.128125
0.12	0.1109375
0.121	0.3078125
0.122	0.4921875
0.123	0.590625
0.124	0.4234375
0.125	-0.0453125
0.126	-0.571875
0.127	-0.8546875
0.128	-0.8125
0.129	-0.5953125
0.13	-0.340625
0.131	-0.0734375
0.132	0.1625
0.133	0.2546875
0.134	0.16875
0.135	0.0171875
0.136	-0.0796875
0.137	-0.096875
0.138	-0.06875
0.139	0
0.14	0.1234375
0.141	0.2328125
0.142	0.1546875
0.143	-0.1671875
0.144	-0.496875
0.145	-0.5328125
0.146	-0.234375
0.147	0.159375
0.148	0.40625
0.149	0.478125
0.15	0.46875
0.151	0.3984375
0.152	0.2578125
0.153	0.096875
0.154	-0.0265625
0.155	-0.0859375
0.156	-0.103125
0.157	-0.1375
0.158	-0.1609375
0.159	-0.1109375
0.16	-0.0609375
0.161	-0.1609375
0.162	-0.40625
0.163	-0.6015625
0.164	-0.55625
0.165	-0.2546875
0.166	0.125
0.167	0.39375
0.168	0.471875
0.169	0.34375
0.17	0.0296875
0.171	-0.3328125
0.172	-0.5359375
0.173	-0.4703125
0.174	-0.1890625
0.175	0.1453125
0.176	0.403125
0.177	0.5296875
0.178	0.4484375
0.179	0.065625
0.18	-0.5109375
0.181	-0.9375
0.182	-0.95
0.183	-0.60625
0.184	-0.1453125
0.185	0.278125
0.186	0.603125
0.187	0.6984375
0.188	0.4296875
0.189	-0.075
0.19	-0.4515625
0.191	-0.5015625
0.192	-0.3375
0.193	-0.1609375
0.194	-0.0140625
0.195	0.1609375
0.196	0.3015625
0.197	0.2328125
0.198	-0.078125
0.199	-0.4109375
0.2	-0.4984375
0.201	-0.25625
0.202	0.171875
0.203	0.5453125
0.204	0.7609375
0.205	0.85625
0.206	0.784375
0.207	0.3953125
0.208	-0.2234375
0.209	-0.6921875
0.21	-0.7328125
0.211	-0.4109375
0.212	0.0171875
0.213	0.3140625
0.214	0.3453125
0.215	0.1
0.216	-0.2921875
0.217	-0.6015625
0.218	-0.65625
0.219	-0.4578125
0.22	-0.13125
0.221	0.2109375
0.222	0.5546875
0.223	0.8359375
0.224	0.8328125
0.225	0.4375
0.226	-0.09375
0.227	-0.4
0.228	-0.3703125
0.229	-0.1484375
0.23	0.11875
0.231	0.421875
0.232	0.75625
0.233	0.921875
0.234	0.7375
0.235	0.3203125
0.236	-0.053125
0.237	-0.209375
0.238	-0.1125
0.239	0.16875
0.24	0.4640625
0.241	0.5875
0.242	0.4109375
0.243	-0.053125
0.244	-0.58125
0.245	-0.865625
0.246	-0.7421875
0.247	-0.2828125
0.248	0.2671875
0.249	0.6609375
0.25	0.78125
0.251	0.6078125
0.252	0.2109375
0.253	-0.2171875
0.254	-0.4984375
0.255	-0.6078125
0.256	-0.5734375
0.257	-0.3921875
0.258	-0.078125
0.259	0.2640625
0.26	0.446875
0.261	0.340625
0.262	0.034375
0.263	-0.228125
0.264	-0.275
0.265	-0.1234375
0.266	0.096875
0.267	0.3125
0.268	0.546875
0.269	0.71875
0.27	0.6171875
0.271	0.2046875
0.272	-0.2734375
0.273	-0.5421875
0.274	-0.50625
0.275	-0.240625
0.276	0.10625
0.277	0.384375
0.278	0.4625
0.279	0.2671875
0.28	-0.0703125
0.281	-0.2609375
0.282	-0.1671875
0.283	0.059375
0.284	0.2296875
0.285	0.3375
0.286	0.475
0.287	0.590625
0.288	0.4984375
0.289	0.1515625
0.29	-0.2390625
0.291	-0.4328125
0.292	-0.353125
0.293	-0.0859375
0.294	0.2234375
0.295	0.4703125
0.296	0.6015625
0.297	0.565625
0.298	0.3640625
0.299	0.096875
0.3	-0.0953125
0.301	-0.1515625
0.302	-0.11875
0.303	-0.0296875
0.304	0.1390625
0.305	0.2953125
0.306	0.2078125
0.307	-0.196875
0.308	-0.6515625
0.309	-0.8046875
0.31	-0.5640625
0.311	-0.1328125
0.312	0.24375
0.313	0.4828125
0.314	0.5875
0.315	0.478125
0.316	0.115625
0.317	-0.321875
0.318	-0.5984375
0.319	-0.6296875
0.32	-0.4234375
0.321	-0.0109375
0.322	0.475
0.323	0.7578125
0.324	0.5828125
0.325	-0.00625
0.326	-0.628125
0.327	-0.89375
0.328	-0.7078125
0.329	-0.2546875
0.33	0.2109375
0.331	0.5703125
0.332	0.78125
0.333	0.703125
0.334	0.2640625
0.335	-0.296875
0.336	-0.596875
0.337	-0.4828125
0.338	-0.115625
0.339	0.2328125
0.34	0.453125
0.341	0.6015625
0.342	0.6359375
0.343	0.3859375
0.344	-0.15625
0.345	-0.6984375
0.346	-0.8921875
0.347	-0.64375
0.348	-0.184375
0.349	0.178125
0.35	0.321875
0.351	0.253125
0.352	0.0203125
0.353	-0.2453125
0.354	-0.375
0.355	-0.3078125
0.356	-0.1015625
0.357	0.1625
0.358	0.4140625
0.359	0.5828125
0.36	0.571875
0.361	0.325
0.362	-0.065625
0.363	-0.3875
0.364	-0.4640625
0.365	-0.2890625
0.366	-0.021875
0.367	0.1953125
0.368	0.34375
0.369	0.4
0.37	0.2671875
0.371	-0.053125
0.372	-0.3734375
0.373	-0.4890625
0.374	-0.3453125
0.375	-0.021875
0.376	0.340625
0.377	0.5984375
0.378	0.59375
0.379	0.2578125
0.38	-0.2421875
0.381	-0.5921875
0.382	-0.6203125
0.383	-0.334375
0.384	0.153125
0.385	0.659375
0.386	1.045313
0.387	1.223438
0.388	1.0625
0.389	0.5484375
0.39	-0.059375
0.391	-0.4265625
0.392	-0.41875
0.393	-0.1421875
0.394	0.1625
0.395	0.3328125
0.396	0.35625
0.397	0.2375
0.398	-0.0140625
0.399	-0.275
0.4	-0.40625
0.401	-0.3953125
0.402	-0.29375
0.403	-0.096875
0.404	0.2109375
0.405	0.5015625
0.406	0.5453125
0.407	0.2953125
0.408	-0.0234375
0.409	-0.1859375
0.41	-0.178125
0.411	-0.09375
0.412	0.009375
0.413	0.1234375
0.414	0.2171875
0.415	0.1984375
0.416	0
0.417	-0.2765625
0.418	-0.45
0.419	-0.4203125
0.42	-0.2203125
0.421	0.053125
0.422	0.3296875
0.423	0.5421875
0.424	0.553125
0.425	0.2375
0.426	-0.2828125
0.427	-0.6640625
0.428	-0.6625
0.429	-0.3359375
0.43	0.0796875
0.431	0.403125
0.432	0.5328125
0.433	0.3375
0.434	-0.2
0.435	-0.7359375
0.436	-0.8484375
0.437	-0.525
0.438	-0.115625
0.439	0.1359375
0.44	0.2921875
0.441	0.4609375
0.442	0.5375
0.443	0.34375
0.444	-0.05
0.445	-0.375
0.446	-0.4609375
0.447	-0.35
0.448	-0.1609375
0.449	0.034375
0.45	0.2171875
0.451	0.30625
0.452	0.1625
0.453	-0.2453125
0.454	-0.725
0.455	-0.98125
0.456	-0.8515625
0.457	-0.4640625
0.458	-0.0828125
0.459	0.1453125
0.46	0.1875
0.461	0.00625
0.462	-0.3390625
0.463	-0.6203125
0.464	-0.6203125
0.465	-0.3171875
0.466	0.1328125
0.467	0.5453125
0.468	0.821875
0.469	0.8953125
0.47	0.709375
0.471	0.3359375
0.472	-0.040625
0.473	-0.2453125
0.474	-0.209375
0.475	-0.01875
0.476	0.171875
0.477	0.3046875
0.478	0.35
0.479	0.2015625
0.48	-0.16875
0.481	-0.5515625
0.482	-0.6984375
0.483	-0.58125
0.484	-0.346875
0.485	-0.1015625
0.486	0.11875
0.487	0.2203125
0.488	0.0515625
0.489	-0.3484375
0.49	-0.6828125
0.491	-0.7140625
0.492	-0.446875
0.493	-0.0328125
0.494	0.3609375
0.495	0.646875
0.496	0.8109375
0.497	0.8234375
0.498	0.6359375
0.499	0.3390625
0.5	0.1109375
0.501	0.01875
0.502	-0.015625
0.503	-0.0234375
0.504	0.0921875
0.505	0.353125
0.506	0.53125
0.507	0.3859375
0.508	0.04375
0.509	-0.15625
0.51	-0.065625
0.511	0.153125
0.512	0.29375
0.513	0.3046875
0.514	0.240625
0.515	0.1203125
0.516	-0.0671875
0.517	-0.271875
0.518	-0.38125
0.519	-0.3390625
0.52	-0.209375
0.521	-0.1140625
0.522	-0.084375
0.523	-0.0453125
0.524	-0.00625
0.525	-0.0859375
0.526	-0.2828125
0.527	-0.43125
0.528	-0.421875
0.529	-0.2921875
0.53	-0.1171875
0.531	0.0859375
0.532	0.290625
0.533	0.3671875
0.534	0.165625
0.535	-0.24375
0.536	-0.56875
0.537	-0.5703125
0.538	-0.2609375
0.539	0.1671875
0.54	0.5234375
0.541	0.7171875
0.542	0.7
0.543	0.440625
0.544	0.0203125
0.545	-0.3234375
0.546	-0.3546875
0.547	-0.05625
0.548	0.3640625
0.549	0.6734375
0.55	0.7640625
0.551	0.609375
0.552	0.2265625
0.553	-0.2328125
0.554	-0.5125
0.555	-0.478125
0.556	-0.234375
0.557	0.01875
0.558	0.1515625
0.559	0.13125
0.56	-0.0390625
0.561	-0.2953125
0.562	-0.5078125
0.563	-0.55
0.564	-0.375
0.565	-0.0640625
0.566	0.2328125
0.567	0.3953125
0.568	0.38125
0.569	0.1875
0.57	-0.128125
0.571	-0.4421875
0.572	-0.621875
0.573	-0.60625
0.574	-0.421875
0.575	-0.1671875
0.576	0.0890625
0.577	0.3734375
0.578	0.628125
0.579	0.6328125
0.58	0.26875
0.581	-0.25
0.582	-0.5875
0.583	-0.64375
0.584	-0.5453125
0.585	-0.4046875
0.586	-0.2
0.587	0.03125
0.588	0.0859375
0.589	-0.14375
0.59	-0.4375
0.591	-0.503125
0.592	-0.3078125
0.593	-0.0609375
0.594	0.059375
0.595	0.075
0.596	0.08125
0.597	0.05
0.598	-0.0953125
0.599	-0.3
0.6	-0.3828125
0.601	-0.209375
0.602	0.1625
0.603	0.5125
0.604	0.68125
0.605	0.6671875
0.606	0.528125
0.607	0.2921875
0.608	0.028125
0.609	-0.140625
0.61	-0.1328125
0.611	0.0453125
0.612	0.31875
0.613	0.55
0.614	0.584375
0.615	0.3359375
0.616	-0.121875
0.617	-0.5296875
0.618	-0.6078125
0.619	-0.3109375
0.62	0.1078125
0.621	0.3515625
0.622	0.3203125
0.623	0.1078125
0.624	-0.15625
0.625	-0.415625
0.626	-0.6484375
0.627	-0.784375
0.628	-0.7328125
0.629	-0.50625
0.63	-0.234375
0.631	-0.021875
0.632	0.1109375
0.633	0.1359375
0.634	0.0015625
0.635	-0.2234375
0.636	-0.3828125
0.637	-0.3875
0.638	-0.2578125
0.639	-0.0828125
0.64	0.05
0.641	0.109375
0.642	0.040625
0.643	-0.2296875
0.644	-0.6140625
0.645	-0.8203125
0.646	-0.6328125
0.647	-0.1171875
0.648	0.4984375
0.649	0.9890625
0.65	1.203125
0.651	1.046875
0.652	0.4953125
0.653	-0.2796875
0.654	-0.8765625
0.655	-1.007813
0.656	-0.7265625
0.657	-0.259375
0.658	0.215625
0.659	0.5921875
0.66	0.7515625
0.661	0.5875
0.662	0.18125
0.663	-0.19375
0.664	-0.2921875
0.665	-0.1140625
0.666	0.13125
0.667	0.321875
0.668	0.5109375
0.669	0.6515625
0.67	0.55
0.671	0.175
0.672	-0.246875
0.673	-0.4484375
0.674	-0.3265625
0.675	0.0265625
0.676	0.38125
0.677	0.528125
0.678	0.43125
0.679	0.184375
0.68	-0.109375
0.681	-0.36875
0.682	-0.5203125
0.683	-0.5046875
0.684	-0.2984375
0.685	0.0734375
0.686	0.51875
0.687	0.8265625
0.688	0.753125
0.689	0.2671875
0.69	-0.3109375
0.691	-0.5828125
0.692	-0.44375
0.693	-0.0703125
0.694	0.346875
0.695	0.69375
0.696	0.86875
0.697	0.7765625
0.698	0.4140625
0.699	-0.0703125
0.7	-0.4265625
0.701	-0.5109375
0.702	-0.38125
0.703	-0.1578125
0.704	0.0859375
0.705	0.284375
0.706	0.3296875
0.707	0.165625
0.708	-0.1203125
0.709	-0.31875
0.71	-0.259375
0.711	0.05
0.712	0.3828125
0.713	0.5171875
0.714	0.43125
0.715	0.2125
0.716	-0.06875
0.717	-0.3140625
0.718	-0.4046875
0.719	-0.3046875
0.72	-0.1015625
0.721	0.0390625
0.722	0.003125
0.723	-0.1296875
0.724	-0.19375
0.725	-0.203125
0.726	-0.2671875
0.727	-0.3328125
0.728	-0.24375
0.729	0.0109375
0.73	0.3015625
0.731	0.5359375
0.732	0.690625
0.733	0.68125
0.734	0.3828125
0.735	-0.13125
0.736	-0.528125
0.737	-0.54375
0.738	-0.25625
0.739	0.0390625
0.74	0.1796875
0.741	0.2625
0.742	0.384375
0.743	0.4296875
0.744	0.25625
0.745	-0.059375
0.746	-0.296875
0.747	-0.2671875
0.748	0.084375
0.749	0.609375
0.75	0.984375
0.751	0.978125
0.752	0.634375
0.753	0.1515625
0.754	-0.3015625
0.755	-0.640625
0.756	-0.765625
0.757	-0.5765625
0.758	-0.1296875
0.759	0.359375
0.76	0.646875
0.761	0.5828125
0.762	0.19375
0.763	-0.2765625
0.764	-0.4953125
0.765	-0.334375
0.766	0.009375
0.767	0.240625
0.768	0.2578125
0.769	0.134375
0.77	-0.009375
0.771	-0.0484375
0.772	0.0421875
0.773	0.1375
0.774	0.140625
0.775	0.0890625
0.776	0.0609375
0.777	0.13125
0.778	0.30625
0.779	0.4875
0.78	0.58125
0.781	0.5484375
0.782	0.353125
0.783	0.065625
0.784	-0.1296875
0.785	-0.1140625
0.786	0.075
0.787	0.2765625
0.788	0.290625
0.789	0.0484375
0.79	-0.284375
0.791	-0.44375
0.792	-0.2890625
0.793	0.1203125
0.794	0.5921875
0.795	0.9578125
0.796	1.134375
0.797	1.020313
0.798	0.584375
0.799	0.0671875
0.8	-0.1703125
0.801	-0.0328125
0.802	0.2359375
0.803	0.346875
0.804	0.2046875
0.805	-0.1078125
0.806	-0.434375
0.807	-0.6546875
0.808	-0.728125
0.809	-0.6890625
0.81	-0.571875
0.811	-0.3875
0.812	-0.14375
0.813	0.121875
0.814	0.3484375
0.815	0.409375
0.816	0.19375
0.817	-0.2140625
0.818	-0.5453125
0.819	-0.58125
0.82	-0.31875
0.821	0.0625
0.822	0.3765625
0.823	0.5375
0.824	0.48125
0.825	0.196875
0.826	-0.1515625
0.827	-0.35
0.828	-0.3296875
0.829	-0.1234375
0.83	0.1890625
0.831	0.484375
0.832	0.6875
0.833	0.725
0.834	0.446875
0.835	-0.10625
0.836	-0.5671875
0.837	-0.6125
0.838	-0.30625
0.839	0.0671875
0.84	0.328125
0.841	0.503125
0.842	0.615625
0.843	0.528125
0.844	0.16875
0.845	-0.225
0.846	-0.3515625
0.847	-0.1796875
0.848	0.071875
0.849	0.2328125
0.85	0.3046875
0.851	0.3015625
0.852	0.13125
0.853	-0.2203125
0.854	-0.559375
0.855	-0.66875
0.856	-0.5078125
0.857	-0.203125
0.858	0.078125
0.859	0.2546875
0.86	0.3109375
0.861	0.165625
0.862	-0.20625
0.863	-0.5859375
0.864	-0.6734375
0.865	-0.371875
0.866	0.146875
0.867	0.5859375
0.868	0.765625
0.869	0.715625
0.87	0.5
0.871	0.146875
0.872	-0.2
0.873	-0.2921875
0.874	-0.0484375
0.875	0.3234375
0.876	0.584375
0.877	0.709375
0.878	0.7796875
0.879	0.7265625
0.88	0.41875
0.881	-0.0640625
0.882	-0.440625
0.883	-0.4953125
0.884	-0.2515625
0.885	0.0859375
0.886	0.3390625
0.887	0.453125
0.888	0.4015625
0.889	0.15625
0.89	-0.1796875
0.891	-0.4125
0.892	-0.45625
0.893	-0.3578125
0.894	-0.15625
0.895	0.11875
0.896	0.3546875
0.897	0.384375
0.898	0.096875
0.899	-0.3765625
0.9	-0.6953125
0.901	-0.6375
0.902	-0.3140625
0.903	0.05
0.904	0.3625
0.905	0.584375
0.906	0.58125
0.907	0.25
0.908	-0.240625
0.909	-0.540625
0.91	-0.4453125
0.911	-0.0765625
0.912	0.2484375
0.913	0.30625
0.914	0.146875
0.915	-0.040625
0.916	-0.178125
0.917	-0.284375
0.918	-0.325
0.919	-0.246875
0.92	-0.065625
0.921	0.1671875
0.922	0.3921875
0.923	0.521875
0.924	0.4625
0.925	0.1609375
0.926	-0.315625
0.927	-0.740625
0.928	-0.8875
0.929	-0.753125
0.93	-0.509375
0.931	-0.2609375
0.932	0.03125
0.933	0.328125
0.934	0.396875
0.935	0.065625
0.936	-0.4546875
0.937	-0.7453125
0.938	-0.5890625
0.939	-0.1125
0.94	0.3984375
0.941	0.7359375
0.942	0.8203125
0.943	0.6015625
0.944	0.1234375
0.945	-0.3875
0.946	-0.69375
0.947	-0.7328125
0.948	-0.634375
0.949	-0.5421875
0.95	-0.415625
0.951	-0.1546875
0.952	0.128125
0.953	0.246875
0.954	0.19375
0.955	0.0734375
0.956	-0.059375
0.957	-0.190625
0.958	-0.265625
0.959	-0.18125
0.96	0.059375
0.961	0.2296875
0.962	0.034375
0.963	-0.5046875
0.964	-0.9796875
0.965	-0.9984375
0.966	-0.5546875
0.967	0.0234375
0.968	0.4375
0.969	0.6203125
0.97	0.6109375
0.971	0.4296875
0.972	0.14375
0.973	-0.0640625
0.974	-0.03125
0.975	0.19375
0.976	0.4140625
0.977	0.509375
0.978	0.490625
0.979	0.3625
0.98	0.1078125
0.981	-0.203125
0.982	-0.4453125
0.983	-0.55625
0.984	-0.5109375
0.985	-0.29375
0.986	0.046875
0.987	0.36875
0.988	0.4796875
0.989	0.2671875
0.99	-0.1421875
0.991	-0.4578125
0.992	-0.496875
0.993	-0.30625
0.994	-0.053125
0.995	0.1578125
0.996	0.3328125
0.997	0.484375
0.998	0.5234375
0.999	0.35625
1	0.090625
1.001	-0.053125
1.002	-0.0546875
1.003	-0.0578125
1.004	-0.1015625
1.005	-0.0921875
1.006	-0.015625
1.007	-0.028125
1.008	-0.2390625
1.009	-0.51875
1.01	-0.621875
1.011	-0.4546875
1.012	-0.1234375
1.013	0.221875
1.014	0.5109375
1.015	0.671875
1.016	0.559375
1.017	0.1640625
1.018	-0.2921875
1.019	-0.5875
1.02	-0.6609375
1.021	-0.5609375
1.022	-0.3578125
1.023	-0.0890625
1.024	0.1828125
1.025	0.303125
1.026	0.1890625
1.027	-0.0265625
1.028	-0.140625
1.029	-0.10625
1.03	0.00625
1.031	0.1296875
1.032	0.25
1.033	0.309375
1.034	0.1875
1.035	-0.1453125
1.036	-0.5390625
1.037	-0.846875
1.038	-0.9953125
1.039	-0.9109375
1.04	-0.6359375
1.041	-0.353125
1.042	-0.1625
1.043	-0.0765625
1.044	-0.1640625
1.045	-0.446875
1.046	-0.778125
1.047	-0.909375
1.048	-0.7078125
1.049	-0.265625
1.05	0.2
1.051	0.4828125
1.052	0.4296875
1.053	0.0265625
1.054	-0.5
1.055	-0.8265625
1.056	-0.8109375
1.057	-0.540625
1.058	-0.1515625
1.059	0.2703125
1.06	0.615625
1.061	0.696875
1.062	0.4125
1.063	-0.0734375
1.064	-0.4359375
1.065	-0.5078125
1.066	-0.3671875
1.067	-0.1765625
1.068	-0.00625
1.069	0.1375
1.07	0.1703125
1.071	-0.0328125
1.072	-0.44375
1.073	-0.8796875
1.074	-1.121875
1.075	-1.014063
1.076	-0.571875
1.077	-0.00625
1.078	0.434375
1.079	0.5875
1.08	0.40625
1.081	0.021875
1.082	-0.2796875
1.083	-0.2609375
1.084	0.0328125
1.085	0.325
1.086	0.421875
1.087	0.3890625
1.088	0.3515625
1.089	0.2546875
1.09	-0.0078125
1.091	-0.3296875
1.092	-0.4703125
1.093	-0.375
1.094	-0.2203125
1.095	-0.128125
1.096	-0.003125
1.097	0.1703125
1.098	0.1421875
1.099	-0.2609375
1.1	-0.8015625
1.101	-1.025
1.102	-0.74375
1.103	-0.2078125
1.104	0.203125
1.105	0.35625
1.106	0.3234375
1.107	0.140625
1.108	-0.1375
1.109	-0.3046875
1.11	-0.1328125
1.111	0.3234375
1.112	0.753125
1.113	0.921875
1.114	0.8875
1.115	0.7953125
1.116	0.6328125
1.117	0.296875
1.118	-0.1421875
1.119	-0.4578125
1.12	-0.4921875
1.121	-0.25625
1.122	0.134375
1.123	0.5140625
1.124	0.6859375
1.125	0.4828125
1.126	-0.05625
1.127	-0.615625
1.128	-0.8328125
1.129	-0.625
1.13	-0.19375
1.131	0.215625
1.132	0.4890625
1.133	0.578125
1.134	0.40625
1.135	-0.009375
1.136	-0.421875
1.137	-0.55
1.138	-0.3765625
1.139	-0.1109375
1.14	0.1109375
1.141	0.3296875
1.142	0.534375
1.143	0.5359375
1.144	0.2140625
1.145	-0.246875
1.146	-0.53125
1.147	-0.496875
1.148	-0.2765625
1.149	-0.0953125
1.15	-0.0453125
1.151	-0.096875
1.152	-0.2203125
1.153	-0.415625
1.154	-0.6078125
1.155	-0.64375
1.156	-0.446875
1.157	-0.11875
1.158	0.1796875
1.159	0.39375
1.16	0.53125
1.161	0.5171875
1.162	0.2421875
1.163	-0.2015625
1.164	-0.53125
1.165	-0.525
1.166	-0.2140625
1.167	0.184375
1.168	0.4765625
1.169	0.6140625
1.17	0.571875
1.171	0.3171875
1.172	-0.0796875
1.173	-0.4375
1.174	-0.6046875
1.175	-0.540625
1.176	-0.253125
1.177	0.20625
1.178	0.6640625
1.179	0.859375
1.18	0.6453125
1.181	0.159375
1.182	-0.2765625
1.183	-0.409375
1.184	-0.225
1.185	0.1140625
1.186	0.4234375
1.187	0.5734375
1.188	0.4828125
1.189	0.1078125
1.19	-0.4359375
1.191	-0.83125
1.192	-0.828125
1.193	-0.4875
1.194	-0.071875
1.195	0.2328125
1.196	0.4109375
1.197	0.471875
1.198	0.3671875
1.199	0.1234375
1.2	-0.084375
1.201	-0.1140625
1.202	0.0453125
1.203	0.31875
1.204	0.584375
1.205	0.684375
1.206	0.484375
1.207	-0.015625
1.208	-0.6015625
1.209	-0.9828125
1.21	-1.010938
1.211	-0.7171875
1.212	-0.2828125
1.213	0.0140625
1.214	0.009375
1.215	-0.1796875
1.216	-0.3578125
1.217	-0.4828125
1.218	-0.578125
1.219	-0.5921875
1.22	-0.465625
1.221	-0.2375
1.222	-0.0234375
1.223	0.128125
1.224	0.2453125
1.225	0.2921875
1.226	0.171875
1.227	-0.096875
1.228	-0.3234375
1.229	-0.3375
1.23	-0.1453125
1.231	0.1203125
1.232	0.353125
1.233	0.478125
1.234	0.3640625
1.235	-0.0328125
1.236	-0.446875
1.237	-0.4953125
1.238	-0.09375
1.239	0.4109375
1.24	0.6375
1.241	0.584375
1.242	0.5078125
