Interval=	0.001 s
ExcelDateTime=	4.5391642967100226e+004	4/9/2024 15:25:52.35746
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	10.000 V
UnitName=	L/min
TopValue=	50.00
BottomValue=	-50.00
0	-0.7328125
0.001	-0.3609375
0.002	0.1328125
0.003	0.5515625
0.004	0.6484375
0.005	0.2828125
0.006	-0.334375
0.007	-0.7921875
0.008	-0.8609375
0.009	-0.5984375
0.01	-0.1796875
0.011	0.353125
0.012	1.054688
0.013	1.696875
0.014	1.696875
0.015	0.784375
0.016	-0.50625
0.017	-1.321875
0.018	-1.323438
0.019	-0.7984375
0.02	-0.1609375
0.021	0.4109375
0.022	0.915625
0.023	1.232813
0.024	1.121875
0.025	0.578125
0.026	-0.05
0.027	-0.3921875
0.028	-0.3390625
0.029	0
0.03	0.4015625
0.031	0.61875
0.032	0.5046875
0.033	0.121875
0.034	-0.30625
0.035	-0.559375
0.036	-0.5375
0.037	-0.3078125
0.038	-0.03125
0.039	0.196875
0.04	0.41875
0.041	0.5828125
0.042	0.4421875
0.043	-0.0796875
0.044	-0.63125
0.045	-0.79375
0.046	-0.4984375
0.047	-0.0328125
0.048	0.240625
0.049	0.1609375
0.05	-0.196875
0.051	-0.63125
0.052	-0.93125
0.053	-0.9875
0.054	-0.809375
0.055	-0.4578125
0.056	-0.00625
0.057	0.4703125
0.058	0.86875
0.059	0.990625
0.06	0.628125
0.061	-0.128125
0.062	-0.809375
0.063	-0.996875
0.064	-0.6796875
0.065	-0.1515625
0.066	0.29375
0.067	0.484375
0.068	0.371875
0.069	0.015625
0.07	-0.4625
0.071	-0.8640625
0.072	-0.9546875
0.073	-0.678125
0.074	-0.240625
0.075	0.1046875
0.076	0.346875
0.077	0.578125
0.078	0.609375
0.079	0.1890625
0.08	-0.4640625
0.081	-0.8296875
0.082	-0.6875
0.083	-0.2328125
0.084	0.23125
0.085	0.5234375
0.086	0.5625
0.087	0.2703125
0.088	-0.3046875
0.089	-0.859375
0.09	-1.065625
0.091	-0.8453125
0.092	-0.3671875
0.093	0.1546875
0.094	0.625
0.095	0.953125
0.096	0.90625
0.097	0.378125
0.098	-0.3109375
0.099	-0.70625
0.1	-0.6546875
0.101	-0.3109375
0.102	0.1015625
0.103	0.4703125
0.104	0.6921875
0.105	0.4875
0.106	-0.290625
0.107	-1.198438
0.108	-1.570313
0.109	-1.2375
0.11	-0.5578125
0.111	0.0578125
0.112	0.4515625
0.113	0.6453125
0.114	0.63125
0.115	0.3859375
0.116	0.025
0.117	-0.25
0.118	-0.3234375
0.119	-0.2109375
0.12	-0.0046875
0.121	0.209375
0.122	0.36875
0.123	0.3703125
0.124	0.14375
0.125	-0.2296875
0.126	-0.5796875
0.127	-0.721875
0.128	-0.5546875
0.129	-0.175
0.13	0.21875
0.131	0.5046875
0.132	0.59375
0.133	0.3921875
0.134	-0.0515625
0.135	-0.49375
0.136	-0.66875
0.137	-0.4921875
0.138	-0.1171875
0.139	0.209375
0.14	0.3859375
0.141	0.4140625
0.142	0.215625
0.143	-0.2390625
0.144	-0.7125
0.145	-0.8984375
0.146	-0.7234375
0.147	-0.359375
0.148	0.003125
0.149	0.2796875
0.15	0.41875
0.151	0.2984375
0.152	-0.1109375
0.153	-0.5921875
0.154	-0.8265625
0.155	-0.684375
0.156	-0.2890625
0.157	0.146875
0.158	0.4765625
0.159	0.584375
0.16	0.4015625
0.161	0.0578125
0.162	-0.246875
0.163	-0.45
0.164	-0.5140625
0.165	-0.346875
0.166	0.0328125
0.167	0.4609375
0.168	0.7453125
0.169	0.7015625
0.17	0.265625
0.171	-0.296875
0.172	-0.546875
0.173	-0.3609375
0.174	0.003125
0.175	0.290625
0.176	0.48125
0.177	0.6328125
0.178	0.6296875
0.179	0.265625
0.18	-0.3703125
0.181	-0.88125
0.182	-0.9625
0.183	-0.646875
0.184	-0.165625
0.185	0.2625
0.186	0.475
0.187	0.4
0.188	0.153125
0.189	-0.0546875
0.19	-0.1578125
0.191	-0.1734375
0.192	-0.078125
0.193	0.121875
0.194	0.3515625
0.195	0.51875
0.196	0.509375
0.197	0.2828125
0.198	-0.0375
0.199	-0.2859375
0.2	-0.3671875
0.201	-0.228125
0.202	0.13125
0.203	0.6078125
0.204	0.9921875
0.205	1.010938
0.206	0.54375
0.207	-0.1265625
0.208	-0.503125
0.209	-0.428125
0.21	-0.146875
0.211	0.1015625
0.212	0.3109375
0.213	0.5453125
0.214	0.7296875
0.215	0.640625
0.216	0.15625
0.217	-0.475
0.218	-0.803125
0.219	-0.665625
0.22	-0.2828125
0.221	0.0875
0.222	0.384375
0.223	0.5609375
0.224	0.3859375
0.225	-0.290625
0.226	-1.153125
0.227	-1.59375
0.228	-1.307813
0.229	-0.5328125
0.23	0.2546875
0.231	0.7375
0.232	0.8375
0.233	0.584375
0.234	0.096875
0.235	-0.3765625
0.236	-0.5875
0.237	-0.4734375
0.238	-0.15
0.239	0.2296875
0.24	0.5875
